Column1,Column2
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone
Stole the Show,Kygo
oui,Jeremih
Runaway (U & I),Galantis
I Don't Fuck With You,Big Sean
Trap Queen,Fetty Wap
Send My Love (To Your New Lover),Adele
Dear Future Husband,Meghan Trainor
King Kunta,Kendrick Lamar
Black Magic,Little Mix
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn
Wildest Dreams,Taylor Swift
679 (feat. Remy Boyz),Fetty Wap
When We Were Young,Adele
Where Are ? Now (with Justin Bieber),Jack ?
Antidote,Travis Scott
Worth It (feat. Kid Ink),Fifth Harmony
The Heart Wants What It Wants,Selena Gomez
Hello,Adele
Never Forget You,Zara Larsson
Die A Happy Man,Thomas Rhett
Unsteady,X Ambassadors
Bad Blood,Taylor Swift
Ex's & Oh's,Elle King
Ayo,Chris Brown
Jumpman,Drake
No Type,Rae Sremmurd
"Honey, I'm Good.",Andy Grammer
Five More Hours,Deorro
High By The Beach,Lana Del Rey
You Know You Like It,DJ Snake
Do It Again,Pia Mia
Water Under the Bridge,Adele
Please Don't Go,Joel Adams
Love Myself,Hailee Steinfeld
I Really Like You,Carly Rae Jepsen
Lips Are Movin,Meghan Trainor
7/11,Beyonc?
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips
Spirits,The Strumbellas
Here,Alessia Cara
Let It Go,James Bay
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion
GDFR (feat. Sage the Gemini & Lookas),Flo Rida
Fast Car,Jonas Blue
Light It Up - Remix,Major Lazer
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill
Slow Motion,Trey Songz
Barcelona,George Ezra
Cheerleader - Felix Jaehn Remix Radio Edit,OMI
Sunset Lover,Petit Biscuit
Same Old Love,Selena Gomez
Talking Body,Tove Lo
Ain't No Mountain High Enough,Marvin Gaye
Promiscuous,Nelly Furtado
Empire State Of Mind,JAY-Z
The Chain - 2004 Remaster,Fleetwood Mac
The Way I Are,Timbaland
Stan,Eminem
Barbie Girl,Aqua
Little Talks,Of Monsters and Men
Crazy In Love (feat. Jay-Z),Beyonc?
boyfriend (with Social House),Ariana Grande
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
Nothing's Gonna Stop Us Now,Starship
Se?orita,Shawn Mendes
My Boo,USHER
Wild Ones (feat. Sia),Flo Rida
Dilemma,Nelly
Scream & Shout,will.i.am
Don't You Want Me,The Human League
If the World Was Ending (feat. Julia Michaels),JP Saxe
We Built This City,Starship
Somebody That I Used To Know,Gotye
Secret Love Song (feat. Jason Derulo),Little Mix
I Bet You Think About Me (feat. Chris Stapleton) (Taylor?s Version) (From The Vault),Taylor Swift
Thinking 'Bout You (feat. MacKenzie Porter),Dustin Lynch
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran
We Are Young (feat. Janelle Mon?e),fun.
Somethin' Stupid,Frank Sinatra
Lucky,Jason Mraz
You're The One That I Want - From ?Grease?,John Travolta
Dancing With A Stranger (with Normani),Sam Smith
The Sweet Escape,Gwen Stefani
Say Something,A Great Big World
Rewrite The Stars,Zac Efron
Let Somebody Go,Coldplay
I Know What You Did Last Summer,Shawn Mendes
Stay,Rihanna
I Know What You Want (feat. Flipmode Squad),Busta Rhymes
Lover (Remix) [feat. Shawn Mendes],Taylor Swift
No Air (feat. Chris Brown),Jordin Sparks
YOU & I (feat. Khalid),Anne-Marie
Shallow - Radio Edit,Lady Gaga
Till Forever Falls Apart,Ashe
"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker
Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran
S?u Tím Thi?p H?ng,Quang Lê
Xin Go?i Nhau La? Co?? Nha?n,B?ng Ki?u
??p M? Cu?c Tình,Dan Nguyen
Thành Ph? Bu?n,Lan Anh
Ng??i Ngoài Ph?,Nh? Qu?nh
Gõ C?a Trái Tim,Mai Thiên Vân
Chuy?n h?n hò,Nh?t Tr??ng
L?i Nh? Ng??i Yêu,Dan Nguyen
S?u L? Bóng,L? Quyên
Sao Anh N? ?ành Quên,Quang Lê
Cho Ng??i Tình L?,Ph??ng Ph??ng Th?o
Hoa N? V? ?êm,Ph??ng Anh
Nói V?i Ng??i Tình,Tr??ng V?
Mùa xuân ?ó có em,Dan Nguyen
Vùng Lá Me Bay,Nh? Qu?nh
Thành Ph? Bu?n,?àm V?nh H?ng
K? ? mi?n xa,Giang T?
Xuân Này Con Không V?,Quang Lê
T?m ?nh Không H?n,L? Quyên
Qua c?n mê,Hà Thanh Xuân
Dem Buon Tinh Le,Dan Nguyen
??p m? cu?c tình,Quang L?p
Lk Nghèo,Tr??ng V?
Không Gi? R?i,Nh? Qu?nh
Con ???ng X?a Em ?i,H??ng Lan
Em V? K?o Tr?i M?a,L? Quyên
Xuân Này Con V? M? ? ?âu?,Quang Lê
Phu?t cuô?i,Ch? Linh
Chi?u Tây ?ô,Hoàng Oanh
Hoa Lòng Anh V?n Tím,M?nh Qu?nh
Rao Bán V?n Th? Say,Dan Nguyen
Tôi V?n Nh?,M?nh Qu?nh
Mùa Xuân ??u Tiên,Nh? Qu?nh
L?i Nh? Ng??i Yêu,Thiên Quang
N?u Anh ??ng H?n,Thiên Quang
V? ?âu mái tóc ng??i th??ng,Quang Lê
Hoa Trinh N?,M? Tâm
Qua C?n Mê,Duy Khanh
Con ???ng X?a Em ?i,T? My
Ng??i Th??ng K? Nh?,Ph??ng Anh
Thành Ph? Bu?n,Ch? Linh
Ph? Bu?n,Thanh Thúy
Gi?t bu?n không tên,Ph??ng H?ng Qu?
Nh?p C?u Tri Âm,Nh? Qu?nh
Chuy?n Tàu Hoàng Hôn,Ngh? s? Th?y M??i
LK N?i Bu?n Hoa Ph??ng & L?u Bút Ngày Xanh,Hoàng Oanh
Chi?u h? vàng,B?o Y?n
Xuân Này Con Không V?,Duy Khanh
Chuy?n Tình Không D? Vãng,Qu?nh Trang
??ng nói xa nhau,M?nh Qu?nh
Anh ?ã ?n H?n,RPT MCK
Có Em,Madihu
An Th?n,Low G
M??n R??u T? Tình,BigDaddy
Chìm Sâu,RPT MCK
N? hôn Bisou,Mikelodic
N?u ?n cho em,?en
Hai ??a Tr? (feat. Suboi),Ph??ng M? Chi
3 1 0 7 (feat. Duongg & Nâu),W/N
n?u lúc ?ó,tlinh
NGTANOISE,VSOUL
Ex's Hate Me,B Ray
Ch?i Nh? T?i M?,Andree Right Hand
Ch? M?t ?êm N?a Thôi,RPT MCK
Nghe Nh? Tình Yêu,HIEUTHUHAI
Th?c Gi?c,Da LAB
?i V? Nhà,?en
10 Ngàn N?m,PC
Yêu 5,Rhymastic
Thôi Em ??ng ?i,RPT MCK
Tay To,Rapital
Blue Tequila,Táo
Xin ??ng Nh?c Máy,B Ray
?? tr?i s? th?m,Mikelodic
