genre
"['canadian contemporary r&b', 'canadian pop', 'pop']"
"['hip hop', 'rap']"
"['modern alternative rock', 'modern rock', 'pop']"
['chill pop']
"['dance pop', 'pop']"
['pop']
"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
"['lgbtq+ hip hop', 'neo soul']"
"['art pop', 'electropop', 'pop']"
"['pop', 'uk pop']"
"['modern rock', 'pop', 'rock']"
"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
"['pop', 'singer-songwriter pop', 'uk pop']"
"['dance pop', 'pop']"
['pop']
"['r&b', 'urban contemporary']"
"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
"['dance pop', 'pop']"
"['dfw rap', 'melodic rap', 'pop', 'rap']"
"['boy band', 'pop', 'post-teen pop', 'talent show']"
"['pop', 'singer-songwriter pop', 'uk pop']"
"['canadian contemporary r&b', 'canadian pop', 'pop']"
"['edm', 'pop', 'pop dance']"
"['modern rock', 'pop', 'rock']"
"['piano rock', 'pop']"
"['modern rock', 'pop', 'pov: indie', 'rock']"
"['canadian pop', 'pop', 'viral pop']"
"['permanent wave', 'pop']"
"['art pop', 'pop']"
"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
"['alt z', 'pop', 'pov: indie']"
"['canadian contemporary r&b', 'canadian pop', 'pop']"
"['edm', 'pop', 'pop dance']"
"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
"['modern alternative rock', 'modern rock', 'pop']"
"['canadian pop', 'pop', 'viral pop']"
"['dfw rap', 'melodic rap', 'pop', 'rap']"
"['pop', 'uk pop']"
"['pop', 'singer-songwriter pop', 'uk pop']"
"['neo soul', 'pop', 'pop soul', 'urban contemporary']"
"['hip hop', 'rap', 'slap house']"
"['art pop', 'electropop', 'pop']"
"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
"['pop', 'uk pop']"
"['electropop', 'pop']"
['pop']
"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"['hip hop', 'rap', 'slap house']"
"['pop', 'uk pop']"
"['dance pop', 'pop']"
['pop']
"['boy band', 'pop', 'post-teen pop', 'talent show']"
"['canadian pop', 'pop']"
"['dfw rap', 'melodic rap', 'pop', 'rap']"
['pop']
"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
"['barbadian pop', 'pop', 'urban contemporary']"
"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
['pop']
"['edm', 'electronic trap', 'pop', 'pop dance']"
"['permanent wave', 'pop']"
"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
"['pop', 'uk pop']"
"['lgbtq+ hip hop', 'neo soul']"
['pop']
"['chicago rap', 'melodic rap', 'rap']"
"['indietronica', 'modern alternative rock', 'modern rock', 'rock']"
"['atl hip hop', 'atl trap', 'rap', 'trap']"
"['dance rock', 'modern rock', 'pop']"
"['canadian contemporary r&b', 'canadian pop', 'pop']"
['pop soul']
"['indie rock italiano', 'italian pop', 'pop']"
"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
"['art pop', 'electropop', 'pop']"
"['modern rock', 'pop', 'pov: indie', 'rock']"
['pop']
"['detroit hip hop', 'hip hop', 'rap']"
"['pop', 'viral pop']"
['pop']
"['permanent wave', 'pop']"
"['dark clubbing', 'electro trash']"
"['kentucky hip hop', 'r&b', 'rap']"
"['atl hip hop', 'hip hop', 'rap']"
"['metropopolis', 'modern rock']"
"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
"['pop', 'singer-songwriter pop', 'uk pop']"
"['danish pop', 'scandipop']"
"['art pop', 'electropop', 'pop']"
"['art pop', 'pop']"
"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"['dance pop', 'miami hip hop', 'pop']"
"['boy band', 'pop', 'post-teen pop', 'talent show']"
"['dfw rap', 'melodic rap', 'pop', 'rap']"
"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
['pop']
"['edm', 'pop dance', 'progressive electro house']"
"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']"
"['baroque pop', 'modern rock', 'uk alternative pop']"
"['pop', 'talent show', 'uk pop']"
"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
"['chicago rap', 'melodic rap', 'rap']"
"['dance pop', 'neo mellow', 'pop', 'pop rock']"
"['modern rock', 'rock']"
"['dance pop', 'pop']"
"['dance pop', 'pop rap']"
"['barbadian pop', 'pop', 'urban contemporary']"
"['dfw rap', 'melodic rap', 'pop', 'rap']"
"['art pop', 'electropop', 'pop']"
"['boy band', 'dance pop', 'pop']"
"['dance pop', 'pop']"
"['dance pop', 'miami hip hop', 'pop']"
"['british soul', 'talent show']"
"['british soul', 'pop', 'pop soul', 'uk pop']"
['pop']
"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
"['barbadian pop', 'pop', 'urban contemporary']"
"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
"['modern rock', 'pop', 'pov: indie', 'rock']"
"['dance pop', 'pop', 'uk pop']"
"['british soul', 'pop', 'pop soul', 'uk pop']"
"['canadian pop', 'pop']"
['pop']
"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
"['pop', 'post-teen pop']"
"['dance pop', 'miami hip hop', 'pop']"
['pop']
"['canadian pop', 'pop']"
"['pop rap', 'seattle hip hop']"
"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
"['dance pop', 'pop']"
"['electro', 'filter house', 'rock']"
"['electropop', 'pop']"
"['art pop', 'metropopolis', 'nz pop', 'pop']"
"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
"['edm', 'pop', 'pop dance']"
"['folk-pop', 'modern rock']"
"['folk-pop', 'neo-singer-songwriter']"
"['british soul', 'pop', 'pop soul', 'uk pop']"
"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']"
"['hip pop', 'pop', 'queens hip hop', 'rap']"
"['hip hop', 'pop rap']"
[]
"['electropop', 'pop']"
['pop']
"['icelandic indie', 'icelandic rock', 'modern alternative rock']"
"['art pop', 'dance pop', 'pop']"
"['barbadian pop', 'pop', 'urban contemporary']"
"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
['viral pop']
"['hip hop', 'rap', 'slap house']"
"['dance pop', 'pop']"
"['pop', 'reggae fusion']"
"['canadian pop', 'pop']"
['pop']
"['dfw rap', 'melodic rap', 'pop', 'rap']"
"['boy band', 'pop']"
"['emo rap', 'miami hip hop']"
"['melodic rap', 'pluggnb', 'rap']"
['pop']
"['canadian pop', 'pop']"
"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
"['canadian contemporary r&b', 'canadian pop', 'pop']"
"['indietronica', 'metropopolis', 'pop', 'uk pop']"
['pop']
"['edm', 'pop', 'pop dance']"
['pop']
"['indie poptimism', 'modern alternative rock', 'modern rock', 'pov: indie']"
"['emo', 'modern rock', 'pop', 'pop punk', 'rock']"
"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
"['boy band', 'pop', 'post-teen pop', 'talent show']"
"['pop', 'post-teen pop']"
"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
['pop']
"['reggae fusion', 'virgin islands reggae']"
"['pop', 'uk pop']"
"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']"
"['barbadian pop', 'pop', 'urban contemporary']"
"['boy band', 'pop', 'post-teen pop', 'talent show']"
"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']"
"['hip pop', 'pop']"
"['modern alternative rock', 'modern rock', 'stomp pop']"
"['edm', 'pop', 'pop dance', 'tropical house']"
"['post-teen pop', 'viral pop']"
"['barbadian pop', 'pop', 'urban contemporary']"
"['canadian contemporary r&b', 'canadian pop', 'pop']"
"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
"['dance pop', 'pop']"
"['canadian pop', 'pop', 'viral pop']"
"['san diego rap', 'viral trap']"
"['edm', 'pop', 'pop dance', 'tropical house']"
"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
"['dance pop', 'edm', 'pop', 'pop dance']"
"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'trap']"
